Symbol,Company Name,Sector
NATCOPHARM.NS,NATCO Pharma Ltd,Pharma
NBCC.NS,NBCC India Ltd,Infrastructure
NCC.NS,NCC Ltd,Infrastructure
NEOGEN.NS,NEOGEN,Other
NESCO.NS,NESCO,Other
NHPC.NS,NHPC Ltd,Energy
NLCINDIA.NS,NLCINDIA,Other
NMDC.NS,NMDC Ltd,Metals
NSLNISP.NS,NSLNISP,Other
NTPCGREEN.NS,NTPCGREEN,Other
NTPC.NS,NTPC Ltd,Energy
NH.NS,NH,Other
NATIONALUM.NS,NATIONALUM,Other
NFL.NS,NFL,Other
NAVA.NS,NAVA,Other
NAVINFLUOR.NS,Navin Fluorine International Ltd,Chemicals
NAZARA.NS,Nazara Technologies Ltd,Technology
NESTLEIND.NS,Nestle India Ltd,FMCG
NETWEB.NS,NETWEB,Other
NETWORK18.NS,NETWORK18,Other
NEULANDLAB.NS,NEULANDLAB,Other
NEWGEN.NS,Newgen Software Technologies Ltd,Technology
NAM-INDIA.NS,NAM-INDIA,Other
NIVABUPA.NS,NIVABUPA,Other
NUVAMA.NS,NUVAMA,Other
NUVOCO.NS,NUVOCO,Other
OBEROIRLTY.NS,Oberoi Realty Ltd,Real Estate
ONGC.NS,Oil and Natural Gas Corporation Ltd,Energy
OIL.NS,Oil India Ltd,Energy
OLAELEC.NS,OLAELEC,Other
OLECTRA.NS,Olectra Greentech Ltd,Automobile
PAYTM.NS,One 97 Communications Ltd,Technology
ONESOURCE.NS,OneSource Specialty Pharma Ltd,Pharma
OPTIEMUS.NS,OPTIEMUS,Other
OFSS.NS,OFSS,Other
ORCHPHARMA.NS,ORCHPHARMA,Other
ORIENTCEM.NS,Orient Cement Ltd,Cement
OSWALPUMPS.NS,OSWALPUMPS,Other
PNGJL.NS,PNGJL,Other
POLICYBZR.NS,PB Fintech Ltd,Technology
PCJEWELLER.NS,PCJEWELLER,Other
PCBL.NS,PCBL,Other
PGEL.NS,PGEL,Other
PIIND.NS,PIIND,Other
PNBHOUSING.NS,PNB Housing Finance Ltd,Finance
PNCINFRA.NS,PNC Infratech Ltd,Infrastructure
PTC.NS,PTC,Other
PTCIL.NS,PTCIL,Other
PVRINOX.NS,PVR INOX Ltd,Media
PAGEIND.NS,PAGEIND,Other
PARADEEP.NS,PARADEEP,Other
PARAS.NS,Paras Defence and Space Technologies Ltd,Defence
PATANJALI.NS,PATANJALI,Other
PATELENG.NS,PATELENG,Other
PGIL.NS,PGIL,Other
PERSISTENT.NS,Persistent Systems Ltd,Technology
PETRONET.NS,Petronet LNG Ltd,Energy
PFIZER.NS,Pfizer Ltd,Pharma
PHOENIXLTD.NS,The Phoenix Mills Ltd,Real Estate
PIDILITIND.NS,Pidilite Industries Ltd,Chemicals
PPLPHARMA.NS,PPLPHARMA,Other
POLYMED.NS,POLYMED,Other
POLYCAB.NS,Polycab India Ltd,Capital Goods
POLYPLEX.NS,POLYPLEX,Other
POONAWALLA.NS,POONAWALLA,Other
PFC.NS,PFC,Other
POWERGRID.NS,Power Grid Corporation of India Ltd,Energy
POWERMECH.NS,POWERMECH,Other
PRAJIND.NS,PRAJIND,Other
PREMIERENE.NS,PREMIERENE,Other
PRESTIGE.NS,Prestige Estates Projects Ltd,Real Estate
PRICOLLTD.NS,PRICOLLTD,Other
PRINCEPIPE.NS,PRINCEPIPE,Other
PRSMJOHNSN.NS,PRSMJOHNSN,Other
PRIVISCL.NS,PRIVISCL,Other
PGHH.NS,Procter and Gamble Hygiene and Health Care,FMCG
PRUDENT.NS,PRUDENT,Other
PNB.NS,Punjab National Bank,Banking
PURVA.NS,PURVA,Other
QUESS.NS,QUESS,Other
RRKABEL.NS,RRKABEL,Other
RBLBANK.NS,RBL Bank Ltd,Banking
RECLTD.NS,RECLTD,Other
RHIM.NS,RHIM,Other
RITES.NS,RITES,Other
RADICO.NS,Radico Khaitan Ltd,FMCG
RVNL.NS,Rail Vikas Nigam Ltd,Infrastructure
RAILTEL.NS,RAILTEL,Other
RAIN.NS,RAIN,Other
RAINBOW.NS,Rainbow Childrens Medicare Ltd,Healthcare
RALLIS.NS,Rallis India Ltd,Agriculture
RKFORGE.NS,RKFORGE,Other
RCF.NS,RCF,Other
